,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,30 BUKIT BATOK WEST AVENUE 3 PRINCESS ELIZABETH PRIMARY SCHOOL SINGAPORE 659163,30,PRINCESS ELIZABETH PRIMARY SCHOOL,1.349194518,103.7409996,103.7409996,659163,BUKIT BATOK WEST AVENUE 3,PRINCESS ELIZABETH PRIMARY SCHOOL,17725.92669,36812.78583,Princess Elizabeth Primary School
0,2 WOODLANDS DRIVE 14 WOODGROVE PRIMARY SCHOOL SINGAPORE 738079,2,WOODGROVE PRIMARY SCHOOL,1.43305806,103.7903896,103.7903896,738079,WOODLANDS DRIVE 14,WOODGROVE PRIMARY SCHOOL,23222.65449,46085.84108,Woodgrove Primary School
0,51 CORONATION ROAD NANYANG PRIMARY SCHOOL SINGAPORE 269460,51,NANYANG PRIMARY SCHOOL,1.32111549,103.8064681,103.8064681,269460,CORONATION ROAD,NANYANG PRIMARY SCHOOL,25011.802969999997,33707.771960000005,Nanyang Primary School
1,52 KING'S ROAD NANYANG PRIMARY SCHOOL SINGAPORE 268097,52,NANYANG PRIMARY SCHOOL,1.321246289,103.8077947,103.8077947,268097,KING'S ROAD,NANYANG PRIMARY SCHOOL,25159.44468,33722.23349,Nanyang Primary School
0,70 PUNGGOL DRIVE WATERWAY PRIMARY SCHOOL SINGAPORE 828802,70,WATERWAY PRIMARY SCHOOL,1.39915421,103.9186708,103.9186708,828802,PUNGGOL DRIVE,WATERWAY PRIMARY SCHOOL,37498.55149,42337.05229,Waterway Primary School
0,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,2A,ALEXANDRA PRIMARY SCHOOL,1.291299035,103.82394079999999,103.82394079999999,159016,PRINCE CHARLES CRESCENT,ALEXANDRA PRIMARY SCHOOL,26956.33302,30410.80762,Alexandra Primary School
0,80 BARTLEY ROAD MARIS STELLA HIGH SCHOOL SINGAPORE 539786,80,MARIS STELLA HIGH SCHOOL,1.3421839569999998,103.8780964,103.8780964,539786,BARTLEY ROAD,MARIS STELLA HIGH SCHOOL,32983.2917,36037.44455,Maris Stella High School
1,25 MOUNT VERNON ROAD MARIS STELLA HIGH SCHOOL SINGAPORE 368051,25,MARIS STELLA HIGH SCHOOL,1.3413025140000001,103.8778141,103.8778141,368051,MOUNT VERNON ROAD,MARIS STELLA HIGH SCHOOL,32951.86778,35939.978489999994,Maris Stella High School
0,18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634,18,BUKIT VIEW PRIMARY SCHOOL,1.3459452459999999,103.75358879999999,103.75358879999999,659634,BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,19126.95611,36453.448110000005,Bukit View Primary School
0,11 WOODLANDS RING ROAD WOODLANDS RING PRIMARY SCHOOL SINGAPORE 738240,11,WOODLANDS RING PRIMARY SCHOOL,1.434769705,103.7978411,103.7978411,738240,WOODLANDS RING ROAD,WOODLANDS RING PRIMARY SCHOOL,24051.89781,46275.09195,Woodlands Ring Primary School
0,2 BUKIT BATOK STREET 52 LIANHUA PRIMARY SCHOOL SINGAPORE 659243,2,LIANHUA PRIMARY SCHOOL,1.3541550690000002,103.7542104,103.7542104,659243,BUKIT BATOK STREET 52,LIANHUA PRIMARY SCHOOL,19196.15516,37361.24699,Lianhua Primary School
0,2 YISHUN STREET 71 JIEMIN PRIMARY SCHOOL SINGAPORE 768515,2,JIEMIN PRIMARY SCHOOL,1.4276468519999999,103.8304804,103.8304804,768515,YISHUN STREET 71,JIEMIN PRIMARY SCHOOL,27684.148419999998,45487.45227,Jiemin Primary School
0,71 ANCHORVALE LINK SPRINGDALE PRIMARY SCHOOL SINGAPORE 544799,71,SPRINGDALE PRIMARY SCHOOL,1.394958184,103.88989649999999,103.88989649999999,544799,ANCHORVALE LINK,SPRINGDALE PRIMARY SCHOOL,34296.37258,41872.979960000004,Springdale Primary School
0,8B BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579802,8B,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.349783074,103.8545292,103.8545292,579802,BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,30360.509980000003,36877.68069,Kuo Chuan Presbyterian Primary School
1,8 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579793,8,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.3493843559999998,103.8551708,103.8551708,579793,BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,30431.902560000002,36833.59313,Kuo Chuan Presbyterian Primary School
0,10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643,10,AHMAD IBRAHIM PRIMARY SCHOOL,1.4336812069999998,103.8329243,103.8329243,768643,YISHUN STREET 11,AHMAD IBRAHIM PRIMARY SCHOOL,27956.12163,46154.70068,Ahmad Ibrahim Primary School
0,4 CHESTNUT DRIVE CHIJ OUR LADY QUEEN OF PEACE SINGAPORE 679287,4,CHIJ OUR LADY QUEEN OF PEACE,1.366758014,103.7676948,103.7676948,679287,CHESTNUT DRIVE,CHIJ OUR LADY QUEEN OF PEACE,20696.85944,38754.772580000004,CHIJ Our Lady Queen of Peace
0,2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567,2,FARRER PARK PRIMARY SCHOOL,1.312504162,103.8509027,103.8509027,217567,FARRER PARK ROAD,FARRER PARK PRIMARY SCHOOL,29956.943560000003,32755.56622,Farrer Park Primary School
0,10 SERAYA ROAD TANJONG KATONG PRIMARY SCHOOL (U/C) SINGAPORE 437259,10,TANJONG KATONG PRIMARY SCHOOL (U/C),1.305307371,103.9005317,103.9005317,437259,SERAYA ROAD,TANJONG KATONG PRIMARY SCHOOL (U/C),35480.20182,31959.875139999996,Tanjong Katong Primary School
1,860 NEW UPPER CHANGI ROAD TANJONG KATONG PRIMARY SCHOOL (JAN 2018 - DEC 2019) SINGAPORE 467353,860,TANJONG KATONG PRIMARY SCHOOL (JAN 2018 - DEC 2019),1.3243409290000001,103.93912979999999,103.93912979999999,467353,NEW UPPER CHANGI ROAD,TANJONG KATONG PRIMARY SCHOOL (JAN 2018 - DEC 2019),39775.72747,34064.65948,Tanjong Katong Primary School
0,20 CHOA CHU KANG AVENUE 2 CHUA CHU KANG PRIMARY SCHOOL SINGAPORE 689905,20,CHUA CHU KANG PRIMARY SCHOOL,1.377743283,103.7418605,103.7418605,689905,CHOA CHU KANG AVENUE 2,CHUA CHU KANG PRIMARY SCHOOL,17821.85788,39969.56327,Chua Chu Kang Primary School
0,21 HILLCREST ROAD RAFFLES GIRLS' PRIMARY SCHOOL SINGAPORE 289072,21,RAFFLES GIRLS' PRIMARY SCHOOL,1.3300739190000002,103.8062213,103.8062213,289072,HILLCREST ROAD,RAFFLES GIRLS' PRIMARY SCHOOL,24984.35581,34698.34951,Raffles Girls' Primary School
0,1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793,1257,CHIJ OUR LADY OF THE NATIVITY,1.373174017,103.89765940000001,103.89765940000001,534793,UPPER SERANGOON ROAD,CHIJ OUR LADY OF THE NATIVITY,35160.34412,39464.21795,CHIJ Our Lady of the Nativity
0,1 VICTORIA LANE STAMFORD PRIMARY SCHOOL SINGAPORE 198423,1,STAMFORD PRIMARY SCHOOL,1.3040910829999999,103.857393,103.857393,198423,VICTORIA LANE,STAMFORD PRIMARY SCHOOL,30679.2606,31825.297239999996,Stamford Primary School
0,15 CLEMENTI AVENUE 5 PEI TONG PRIMARY SCHOOL SINGAPORE 129857,15,PEI TONG PRIMARY SCHOOL,1.316148017,103.76757629999999,103.76757629999999,129857,CLEMENTI AVENUE 5,PEI TONG PRIMARY SCHOOL,20683.5152,33158.57465,Pei Tong Primary School
0,250 TAMPINES STREET 12 TAMPINES PRIMARY SCHOOL SINGAPORE 529426,250,TAMPINES PRIMARY SCHOOL,1.3504863980000001,103.9435731,103.9435731,529426,TAMPINES STREET 12,TAMPINES PRIMARY SCHOOL,40270.0972,36955.7186,Tampines Primary School
0,2C BURGHLEY DRIVE CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979,2C,CHIJ OUR LADY OF GOOD COUNSEL,1.357951427,103.8642502,103.8642502,558979,BURGHLEY DRIVE,CHIJ OUR LADY OF GOOD COUNSEL,31442.32773,37780.9072,CHIJ Our Lady of Good Counsel
0,61 SEMBAWANG DRIVE NORTHOAKS PRIMARY SCHOOL SINGAPORE 757622,61,NORTHOAKS PRIMARY SCHOOL,1.456666873,103.81361,103.81361,757622,SEMBAWANG DRIVE,NORTHOAKS PRIMARY SCHOOL,25806.75648,48696.34995,Northoaks Primary School
0,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646,100,AI TONG SCHOOL,1.360736365,103.8330757,103.8330757,579646,BRIGHT HILL DRIVE,AI TONG SCHOOL,27972.965369999998,38088.82945,Ai Tong School
0,350 BEDOK NORTH AVENUE 3 RED SWASTIKA SCHOOL SINGAPORE 469719,350,RED SWASTIKA SCHOOL,1.33349383,103.93437490000001,103.93437490000001,469719,BEDOK NORTH AVENUE 3,RED SWASTIKA SCHOOL,39246.516110000004,35076.71989,Red Swastika School
0,90 BUKIT BATOK EAST AVENUE 6 KEMING PRIMARY SCHOOL SINGAPORE 659762,90,KEMING PRIMARY SCHOOL,1.3452450530000002,103.7562645,103.7562645,659762,BUKIT BATOK EAST AVENUE 6,KEMING PRIMARY SCHOOL,19424.7216,36376.01464,Keming Primary School
0,21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714,21,CANBERRA PRIMARY SCHOOL,1.4510640069999998,103.8159709,103.8159709,757714,ADMIRALTY DRIVE,CANBERRA PRIMARY SCHOOL,26069.476459999998,48076.81084,Canberra Primary School
0,110 WOODLANDS CRESCENT RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803,110,RIVERSIDE PRIMARY SCHOOL,1.44710495,103.80192120000001,103.80192120000001,737803,WOODLANDS CRESCENT,RIVERSIDE PRIMARY SCHOOL,24505.96806,47639.055010000004,Riverside Primary School
0,20 PASIR RIS STREET 71 MERIDIAN PRIMARY SCHOOL SINGAPORE 518798,20,MERIDIAN PRIMARY SCHOOL,1.3759708309999998,103.9351432,103.9351432,518798,PASIR RIS STREET 71,MERIDIAN PRIMARY SCHOOL,39331.82685,39773.62088,Meridian Primary School
0,21 SERANGOON NORTH AVENUE 4 ROSYTH SCHOOL SINGAPORE 555855,21,ROSYTH SCHOOL,1.372915796,103.87469320000001,103.87469320000001,555855,SERANGOON NORTH AVENUE 4,ROSYTH SCHOOL,32604.49393,39435.608739999996,Rosyth School
0,1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256,1,CANTONMENT PRIMARY SCHOOL,1.275505441,103.8399227,103.8399227,088256,CANTONMENT CLOSE,CANTONMENT PRIMARY SCHOOL,28734.98928,28664.43264,Cantonment Primary School
0,1 JURONG WEST STREET 73 WESTWOOD PRIMARY SCHOOL SINGAPORE 649188,1,WESTWOOD PRIMARY SCHOOL,1.3471546319999999,103.7005267,103.7005267,649188,JURONG WEST STREET 73,WESTWOOD PRIMARY SCHOOL,13221.722609999999,36587.43342,Westwood Primary School
0,51 JALAN MEMBINA ZHANGDE PRIMARY SCHOOL SINGAPORE 169485,51,ZHANGDE PRIMARY SCHOOL,1.28449822,103.826149,103.826149,169485,JALAN MEMBINA,ZHANGDE PRIMARY SCHOOL,27202.0828,29658.807760000003,Zhangde Primary School
0,65 JURONG EAST STREET 13 FUHUA PRIMARY SCHOOL SINGAPORE 609647,65,FUHUA PRIMARY SCHOOL,1.336403763,103.73666949999999,103.73666949999999,609647,JURONG EAST STREET 13,FUHUA PRIMARY SCHOOL,17243.97049,35398.46628,Fuhua Primary School
0,3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814,3,CONCORD PRIMARY SCHOOL,1.380411513,103.7361428,103.7361428,689814,CHOA CHU KANG AVENUE 4,CONCORD PRIMARY SCHOOL,17185.55416,40264.62814,Concord Primary School
0,30 TOWNER ROAD HONG WEN SCHOOL SINGAPORE 327829,30,HONG WEN SCHOOL,1.321689285,103.8576518,103.8576518,327829,TOWNER ROAD,HONG WEN SCHOOL,30708.0414,33771.21641,Hong Wen School
0,3 ANG MO KIO AVENUE 10 TOWNSVILLE PRIMARY SCHOOL SINGAPORE 569730,3,TOWNSVILLE PRIMARY SCHOOL,1.3603626340000001,103.8541855,103.8541855,569730,ANG MO KIO AVENUE 10,TOWNSVILLE PRIMARY SCHOOL,30322.247160000003,38047.51425,Townsville Primary School
0,3 TAMPINES STREET 21 YUMIN PRIMARY SCHOOL SINGAPORE 529393,3,YUMIN PRIMARY SCHOOL,1.3514596030000001,103.9507161,103.9507161,529393,TAMPINES STREET 21,YUMIN PRIMARY SCHOOL,41065.03298,37063.36808,Yumin Primary School
0,11 TECK WHYE WALK TECK WHYE PRIMARY SCHOOL SINGAPORE 688261,11,TECK WHYE PRIMARY SCHOOL,1.383558303,103.75368279999999,103.75368279999999,688261,TECK WHYE WALK,TECK WHYE PRIMARY SCHOOL,19137.55117,40612.51203,Teck Whye Primary School
0,20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200,20,FRONTIER PRIMARY SCHOOL,1.3366431220000001,103.6996828,103.6996828,648200,JURONG WEST STREET 61,FRONTIER PRIMARY SCHOOL,13127.7417,35425.126410000004,Frontier Primary School
0,111 LORONG KISMIS BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112,111,BUKIT TIMAH PRIMARY SCHOOL,1.337749867,103.76685529999999,103.76685529999999,598112,LORONG KISMIS,BUKIT TIMAH PRIMARY SCHOOL,20603.34696,35547.200130000005,Bukit Timah Primary School
0,2 RIVER VALLEY GREEN RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993,2,RIVER VALLEY PRIMARY SCHOOL,1.294183475,103.8360189,103.8360189,237993,RIVER VALLEY GREEN,RIVER VALLEY PRIMARY SCHOOL,28300.52573,30729.75238,River Valley Primary School
0,45 HOUGANG AVENUE 1 XINGHUA PRIMARY SCHOOL SINGAPORE 538882,45,XINGHUA PRIMARY SCHOOL,1.357996547,103.89021640000001,103.89021640000001,538882,HOUGANG AVENUE 1,XINGHUA PRIMARY SCHOOL,34332.06544,37785.94881,Xinghua Primary School
0,11 CHOA CHU KANG STREET 54 KRANJI PRIMARY SCHOOL SINGAPORE 689189,11,KRANJI PRIMARY SCHOOL,1.3939100309999999,103.74741540000001,103.74741540000001,689189,CHOA CHU KANG STREET 54,KRANJI PRIMARY SCHOOL,18440.11378,41757.17922,Kranji Primary School
0,31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969,31,ANCHOR GREEN PRIMARY SCHOOL,1.390662478,103.8872561,103.8872561,544969,ANCHORVALE DRIVE,ANCHOR GREEN PRIMARY SCHOOL,34002.539469999996,41397.97541,Anchor Green Primary School
0,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840,1,RADIN MAS PRIMARY SCHOOL,1.274961612,103.82418,103.82418,099840,BUKIT PURMEI AVENUE,RADIN MAS PRIMARY SCHOOL,26982.9446,28604.29972,Radin Mas Primary School
0,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840,1,RADIN MAS PRIMARY SCHOOL,1.274961612,103.82418,103.82418,099840,BUKIT PURMEI AVENUE,RADIN MAS PRIMARY SCHOOL,26982.9446,28604.29972,CHIJ (Kellock)
0,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840,1,RADIN MAS PRIMARY SCHOOL,1.274961612,103.82418,103.82418,099840,BUKIT PURMEI AVENUE,RADIN MAS PRIMARY SCHOOL,26982.9446,28604.29972,CHIJ (Katong) Primary
0,11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744,11,GREENRIDGE PRIMARY SCHOOL,1.3858737540000001,103.7678146,103.7678146,677744,JELAPANG ROAD,GREENRIDGE PRIMARY SCHOOL,20710.25094,40868.49494,Greenridge Primary School
0,150 COMPASSVALE BOW PALM VIEW PRIMARY SCHOOL SINGAPORE 544822,150,PALM VIEW PRIMARY SCHOOL,1.3838407640000001,103.8912151,103.8912151,544822,COMPASSVALE BOW,PALM VIEW PRIMARY SCHOOL,34443.145789999995,40643.67495,Palm View Primary School
0,9 PUNGGOL PLACE PUNGGOL VIEW PRIMARY SCHOOL SINGAPORE 828845,9,PUNGGOL VIEW PRIMARY SCHOOL,1.4053333140000002,103.9053865,103.9053865,828845,PUNGGOL PLACE,PUNGGOL VIEW PRIMARY SCHOOL,36020.17415,43020.25725,Punggol View Primary School
0,15 YISHUN AVENUE 4 NORTHLAND PRIMARY SCHOOL SINGAPORE 769026,15,NORTHLAND PRIMARY SCHOOL,1.421304044,103.8407929,103.8407929,769026,YISHUN AVENUE 4,NORTHLAND PRIMARY SCHOOL,28831.785289999996,44786.09772,Northland Primary School
0,60 PASIR RIS DRIVE 1 PARK VIEW PRIMARY SCHOOL SINGAPORE 519524,60,PARK VIEW PRIMARY SCHOOL,1.377770261,103.9396887,103.9396887,519524,PASIR RIS DRIVE 1,PARK VIEW PRIMARY SCHOOL,39837.67607,39972.6151,Park View Primary School
0,8 YISHUN STREET 21 XISHAN PRIMARY SCHOOL SINGAPORE 768611,8,XISHAN PRIMARY SCHOOL,1.433501455,103.83828929999999,103.83828929999999,768611,YISHUN STREET 21,XISHAN PRIMARY SCHOOL,28553.16735,46134.82524,Xishan Primary School
