school,area
Admiralty Primary School,Woodlands
Ahmad Ibrahim Primary School,Yishun
Ai Tong School,Bishan
Alexandra Primary School,Bukit Merah
Anchor Green Primary School,Sengkang
Anderson Primary School,Ang Mo Kio
Anglo-Chinese School (Junior),Central
Anglo-Chinese School (Primary),Bukit Timah
Angsana Primary School,Tampines
Ang Mo Kio Primary School,Ang Mo Kio
Balestier Hill Primary School,Novena
Beacon Primary School,Bukit Panjang
Bedok Green Primary School,Bedok
Bendemeer Primary School,Kallang
Blangah Rise Primary School,Bukit Merah
Boon Lay Garden Primary School,Jurong West
Bukit Panjang Primary School,Bukit Panjang
Bukit Timah Primary School,Bukit Timah
Bukit View Primary School,Bukit Batok
Canberra Primary School,Sembawang
Canossa Catholic Primary School,Geylang
Cantonment Primary School,Bukit Merah
Casuarina Primary School,Pasir Ris
Catholic High School (Primary),Bishan
Cedar Primary School,Toa Payoh
Changkat Primary School,Tampines
CHIJ (Katong) Primary,Katong
CHIJ (Kellock),Bukit Merah
CHIJ Our Lady of Good Counsel,Serangoon
CHIJ Our Lady of the Nativity,Hougang
CHIJ Our Lady Queen of Peace,Bukit Panjang
CHIJ Primary (Toa Payoh),Toa Payoh
CHIJ St. Nicholas Girls' School,Ang Mo Kio
Chongfu School,Yishun
Chongzheng Primary School,Tampines
Chua Chu Kang Primary School,Chua Chu Kang
Clementi Primary School,Clementi
Compassvale Primary School,Sengkang
Concord Primary School,Chua Chu Kang
Coral Primary School,Pasir Ris
Corporation Primary School,Jurong West
Da Qiao Primary School,Ang Mo Kio
Damai Primary School,Bedok
Dazhong Primary School,Bukit Batok
De La Salle School,Chua Chu Kang
East Coast Primary School,Bedok
East Spring Primary School,Tampines
East View Primary School,Tampines
Edgefield Primary School,Punggol
Elias Park Primary School,Pasir Ris
Endeavour Primary School,Sembawang
Eunos Primary School,Geylang
Evergreen Primary School,Woodlands
Fairfield Methodist School (Primary),Dover
Farrer Park Primary School,Kallang
Fengshan Primary School,Bedok
Fernvale Primary School,Sengkang
First Toa Payoh Primary School,Toa Payoh
Frontier Primary School,Jurong West
Fuchun Primary School,Woodlands
Fuhua Primary School,Jurong East
Gan Eng Seng Primary School,Bukit Merah
Geylang Methodist School (Primary),Geylang
Gongshang Primary School,Tampines
Greendale Primary School,Punggol
Greenridge Primary School,Bukit Panjang
Greenwood Primary School,Woodlands
Guangyang Primary School,Bishan
Haig Girls' School,Geylang
Holy Innocents' Primary School,Hougang
Henry Park Primary School,Bukit Timah
Hong Wen School,Kallang
Horizon Primary School,Punggol
Hougang Primary School,Hougang
Huamin Primary School,Yishun
Innova Primary School,Woodlands
Jiemin Primary School,Yishun
Jing Shan Primary School,Ang Mo Kio
Junyuan Primary School,Tampines
Jurong Primary School,Jurong East
Jurong West Primary School,Jurong West
Juying Primary School,Jurong West
Keming Primary School,Bukit Batok
Kheng Cheng School,Toa Payoh
Kong Hwa School,Geylang
Kranji Primary School,Chua Chu Kang
Kuo Chuan Presbyterian Primary School,Bishan
Lakeside Primary School,Jurong West
Lianhua Primary School,Bukit Batok
Loyang Primary School,Pasir Ris
MacPherson Primary School,Geylang
Maha Bodhi School,Geylang
Maris Stella High School,Toa Payoh
Marsiling Primary School,Woodlands
Marymount Convent School,Toa Payoh
Mayflower Primary School,Yishun
Mee Toh School,Punggol
Meridian Primary School,Pasir Ris
Methodist Girls' School (Primary),Bukit Timah
Montfort Junior School,Hougang
Nan Chiau Primary School,Sengkang
Nan Hua Primary School,Clementi
Nanyang Primary School,Bukit Timah
Ngee Ann Primary School,Marine Parade
Naval Base Primary School,Yishun
New Town Primary School,Queenstown
Northland Primary School,Yishun
Northoaks Primary School,Sembawang
North Spring Primary School,Sengkang
North View Primary School,Yishun
North Vista Primary School,Sengkang
Oasis Primary School,Punggol
Opera Estate Primary School,Bedok
Palm View Primary School,Sengkang
Park View Primary School,Pasir Ris
Pasir Ris Primary School,Pasir Ris
Paya Lebar Methodist Girls' School (Primary),Hougang
Pei Chun Public School,Toa Payoh
Pei Hwa Presbyterian Primary School,Bukit Timah
Pei Tong Primary School,Clementi
Peiying Primary School,Yishun
Pioneer Primary School,Jurong West
Poi Ching School,Tampines
Princess Elizabeth Primary School,Bukit Batok
Punggol Cove Primary School,Punggol
Punggol Green Primary School,Punggol
Punggol Primary School,Hougang
Punggol View Primary School,Punggol
Qifa Primary School,Clementi
Qihua Primary School,Woodlands
Queenstown Primary School,Queenstown
Radin Mas Primary School,Bukit Merah
Raffles Girls' Primary School,Bukit Timah
Red Swastika School,Bedok
Riverside Primary School,Woodlands
River Valley Primary School,Central
Rivervale Primary School,Sengkang
Rosyth School,Serangoon
Rulang Primary School,Jurong West
Sembawang Primary School,Sembawang
Sengkang Green Primary School,Sengkang
Seng Kang Primary School,Sengkang
Shuqun Primary School,Jurong West
Si Ling Primary School,Woodlands
Singapore Chinese Girls’ School (Primary),Novena
South View Primary School,Chua Chu Kang
Springdale Primary School,Sengkang
Stamford Primary School,Central
St. Andrew's Junior School,Toa Payoh
St. Anthony's Canossian Primary School,Bedok
St. Anthony's Primary School,Bukit Batok
St. Gabriel's Primary School,Serangoon
St. Hilda's Primary School,Tampines
St. Joseph's Institution Junior,Novena
St. Margaret's Primary School,Rochor
St. Stephen's School,Bedok
Tampines North Primary School,Tampines
Tampines Primary School,Tampines
Tanjong Katong Primary School,Marine Parade
Tao Nan School,Marine Parade
Teck Ghee Primary School,Ang Mo Kio
Teck Whye Primary School,Chua Chu Kang
Telok Kurau Primary School,Bedok
Temasek Primary School,Bedok
Townsville Primary School,Ang Mo Kio
Unity Primary School,Chua Chu Kang
Valour Primary School,Punggol
Waterway Primary School,Punggol
Wellington Primary School,Sembawang
West Grove Primary School,Jurong West
West Spring Primary School,Bukit Panjang
Westwood Primary School,Jurong West
West View Primary School,Bukit Panjang
White Sands Primary School,Pasir Ris
Woodgrove Primary School,Woodlands
Woodlands Primary School,Woodlands
Woodlands Ring Primary School,Woodlands
Xinghua Primary School,Hougang
Xingnan Primary School,Jurong West
Xinmin Primary School,Hougang
Xishan Primary School,Yishun
Yangzheng Primary School,Serangoon
Yew Tee Primary School,Chua Chu Kang
Yio Chu Kang Primary School,Hougang
Yishun Primary School,Yishun
Yu Neng Primary School,Bedok
Yuhua Primary School,Jurong East
Yumin Primary School,Tampines
Zhangde Primary School,Bukit Merah
Zhenghua Primary School,Bukit Panjang
Zhonghua Primary School,Serangoon
