SEARCHVAL,LATITUDE,LONGITUDE
GOLDEN VILLAGE (GV KATONG),1.3052246159999998,103.9051019
MULTI STOREY CAR PARK,1.273387515,103.8089806
11 RIVERVALE CRESCENT SINGAPORE 545082,1.39250411,103.9044837
CORALINUS,1.4037193980000002,103.906138
WESTLITE JUNIPER,1.40630278,103.7606146
TAMAN JURONG SHOPPING CENTRE,1.334844875,103.720462
376 BUKIT BATOK STREET 31 SINGAPORE 650376,1.358317052,103.7495799
SERANGOON GARDEN ESTATE,1.36428137,103.8651339
SINGAPORE VETERINARY ANIMAL CLINIC,1.445812977,103.7982191
OCBC NEX - FAIRPRICE,1.350438181,103.8717045
DAWSON PLACE,1.292702527,103.8109718
CITIBANK PLAZA SINGAPURA,1.30083413,103.8450727
HDB-BEDOK,1.33143368,103.93686540000002
THE MEADOWS,1.399446151,103.9160547
ELIAS MALL,1.378570261,103.9419891
OCBC CHANGI AIRPORT TERMINAL 3 - BASEMENT 2 SOUTH (IN FRONT OF FOODCOURT),1.355568558,103.9858521
925 YISHUN CENTRAL 1 SINGAPORE 760925,1.428230851,103.8374503
EMBASSY OF THE REPUBLIC OF KAZAKHSTAN,1.293410628,103.8318526
KENT VALE,1.301760495,103.7693711
CITIBANK SUNTEC CITY MALL,1.295711525,103.8585526
HDB-KEMBANGAN ESTATE,1.323653452,103.9108536
KOVAN CITY,1.357586117,103.8840493
KHATIB CENTRAL,1.416960498,103.8353478
1 UPPER ALJUNIED LANE SINGAPORE 360001,1.334292424,103.8787462
SHAW THEATRES SELETAR,1.39130623,103.8760851
DEMPSEY CLUSTER (TANGLIN VILLAGE),1.306792403,103.8101858
TECK GHEE VISTA,1.364625403,103.847677
BINJAI PARK,1.336613787,103.7869748
THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,1.369248917,103.8483992
TOH GUAN DORMITORY,1.338312349,103.7535504
201B TAMPINES STREET 21 SINGAPORE 522201,1.3534531580000002,103.9530099
KIM KEAT COURT,1.339044798,103.8555411
HILLCREST PARK,1.331832465,103.8064925
HDB-BUKIT MERAH,1.277795391,103.8193413
JALAN KAYU ESTATE,1.396576911,103.8728604
982 BUANGKOK CRESCENT SINGAPORE 530982,1.380850355,103.8793091
MANDAI LODGE 1,1.4105348430000002,103.7684467
EILEEN'S LEARNING CENTRE PTE. LTD.,1.3554217730000002,103.9343152
CHANGI AIR BASE (EAST),1.327366021,104.0042442
HDB-TAMPINES,1.3475351969999998,103.9517028
NGEE ANN CITY,1.302424172,103.8346761
CLUNY COURT,1.322573169,103.8142455
512 BISHAN STREET 13 SINGAPORE 570512,1.34962235,103.8498817
1 JALAN PAPAN SINGAPORE 619392,1.320876359,103.727546
GREENDALE COURT,1.331664767,103.8070338
306 UBI AVENUE 1 SINGAPORE 400306,1.329871172,103.9019304
HDB-JURONG WEST,1.348333358,103.7243073
BUKIT BATOK MRT STATION (NS2),1.349033312,103.7495665
166 BUKIT MERAH CENTRAL SINGAPORE 150166,1.283092626,103.8176672
SENJA CENTRE,1.385096024,103.7602184
HDB-HOUGANG,1.353702971,103.8906808
BUKIT TIMAH PLAZA,1.338656776,103.7785605
HILLCREST PARK,1.331760921,103.8065867
DBS MURAI LODGE I,1.384592585,103.6947788
HDB-ANG MO KIO,1.3701886069999998,103.8434132
HDB-YISHUN,1.425398425,103.833259
934 EAST COAST ROAD SINGAPORE 459125,1.312307573,103.9252345
HDB-JURONG WEST,1.351518475,103.7194965
OCBC KILLINEY ROAD - FAIRPRICE,1.297275314,103.8385339
MCNAIR SPRING,1.321619038,103.8593827
GHIM MOH VALLEY,1.308147469,103.7862552
SINGAPORE ORCHID COUNTRY CLUB,1.415590703,103.8473342
JUNCTION 10,1.380605125,103.7600416
UOB TAMPINES MALL,1.352672322,103.944388
OCBC CITY SQUARE MALL - BRANCH,1.311382719,103.8566269
GEYLANG CONSERVATION AREA,1.314206082,103.8866995
HDB-CENTRAL AREA,1.287082783,103.8415801
LINK@896,1.33662109,103.7837859
DBS ANCHORPOINT,1.289011589,103.805331
HDB-WOODLANDS,1.442144832,103.80687
310 GEYLANG ROAD SINGAPORE 389349,1.312451315,103.8796221
WESTLINK TECHPARK,1.300911235,103.62779
HDB-CHOA CHU KANG,1.380790496,103.75195440000002
HDB-HOUGANG,1.366205547,103.8951524
154A BUKIT BATOK WEST AVENUE 8 SINGAPORE 651154,1.3473718019999998,103.7436981
161 ANG MO KIO AVENUE 4 SINGAPORE 560161,1.374164454,103.8395491
DBS JURONG APARTMENTS,1.328820419,103.6771617
CDPL (TUAS) DORMITORY,1.272360178,103.6370336
JURONG PENJURU DORMITORY 2,1.316197703,103.7325418
PUNGGOL REGALIA,1.402303014,103.9012624
LOYANG POINT,1.367000541,103.9646178
36 YIO CHU KANG ROAD SINGAPORE 545553,1.356760561,103.8760016
HDB-YISHUN,1.436114254,103.8376052
SHAW HOUSE,1.305730607,103.8315319
EAST VILLAGE,1.331775815,103.9462012
ANG MO KIO 22,1.3665583019999998,103.8416241
DBS TANGLIN MALL,1.304853421,103.8238835
ALOCASSIA APARTMENTS,1.319464412,103.8272976
BEAUTY WORLD CENTRE,1.342412642,103.7765394
HDB-HOUGANG,1.362714463,103.8939805
WESTLITE TOH GUAN DORMITORY,1.336417982,103.7518074
YISHUN MRT STATION (NS13),1.429443085,103.835005
APERIA,1.30974242,103.8641016
MANDARIN GARDENS,1.307060757,103.9237698
ASPRI-WESTLITE PAPAN,1.322138268,103.7274213
KALLANG WAVE MALL,1.303843272,103.8727507
SEMBAWANG MART,1.453775808,103.8195905
DBS SCAL RECREATION CENTRE,1.33212291,103.6990703
THE WOODGROVE,1.429402782,103.7813254
CASINO REGULATORY AUTHORITY (CRA),1.273678698,103.8013636
SEMBAWANG RIVERLODGE,1.455512086,103.8145403
DBS PPT LODGE 1A,1.418331386,103.8964479
TUAS TECHPARK,1.311002407,103.6315723
77 CIRCUIT ROAD SINGAPORE 370077,1.328556562,103.8853499
SCOTTS SQUARE,1.305767209,103.8330769
DBS LOT 1,1.385068365,103.7449504
387 UPPER ALJUNIED ROAD SINGAPORE 367872,1.333123242,103.8788419
QUAYSIDE ISLE,1.247758615,103.8419211
RESERVOIR VILLAGE,1.338242032,103.9233039
DBS NTUC NUH,1.293512877,103.7846856
KAKI BUKIT RECREATION CENTRE,1.337297144,103.9066317
OCBC BOON LAY SHOPPING CENTRE FAIRPRICE,1.346373764,103.7124728
MACPHERSON RESIDENCY,1.329181051,103.8882484
TUAS TECHPARK,1.311467888,103.63034
UOB HOUGANG 1,1.375609857,103.8794075
GALLOP KRANJI FARM RESORT,1.419693574,103.7185755
TUAS SOUTH DORMITORY,1.271645216,103.6336113
DBS CHANGI CITY POINT,1.334083638,103.962946
DBS NTUC BUKIT PANJANG RING ROAD,1.377600591,103.7724897
MULTI STOREY CAR PARK,1.351893366,103.8794445
KRANJI INDUSTRIAL ESTATE,1.43594536,103.7540084
DBS NTUC DEPOT ROAD,1.280966807,103.8102982
SKYVILLE @ DAWSON,1.295319663,103.8097586
DBS LIMBANG SHOPPING CENTRE,1.3920738869999998,103.7430996
SRI GEYLANG SERAI,1.316736349,103.8982279
WOODLANDS LODGE ONE,1.450108248,103.7945553
THE LEO,1.33724723,103.9038529
CORONATION SHOPPING PLAZA,1.323675505,103.8102344
CHENG SAN PUBLIC LIBRARY,1.372533156,103.8938835
BOON KENG VILLE,1.31423937,103.870914
DBS COCHRANE LODGE II,1.460658672,103.8191747
ALTEZ,1.274617941,103.8443196
SPRINTECS INDUSTRIAL BUILDING,1.308100979,103.6315482
CHANCERY COURT,1.316177418,103.837815
823 TAMPINES STREET 81 SINGAPORE 520823,1.348744945,103.9340247
DOVER GARDENS,1.304763568,103.7816972
OCBC HEARTLAND MALL,1.359544509,103.8851691
TECK WHYE HEIGHTS III,1.3782976880000002,103.7540714
KAHTIB CENTRAL,1.416018805,103.8350008
DBS SIMPANG LODGE,1.446126849,103.8381837
11 MOHAMED SULTAN ROAD SINGAPORE 239010,1.293841011,103.8416149
DBS WEST MALL,1.350375416,103.7491239
BUKIT PANJANG NEIGHBOURHOOD CENTRE,1.379047759,103.773004
CHENG SAN CENTRE,1.372626669,103.8539767
212 LORONG 8 TOA PAYOH SINGAPORE 310212,1.3406429359999998,103.8543345
266 COMPASSVALE BOW SINGAPORE 540266,1.3818777130000002,103.8970399
CITIBANK ESSO EAST COAST,1.308361647,103.9079888
14 CHUN TIN ROAD SINGAPORE 599601,1.342019632,103.7750642
ASIA SQUARE TOWER 2,1.278307296,103.8507952
HDB-HOUGANG,1.371698789,103.8799483
DBS MARINA SQUARE,1.290981684,103.8576476
YEWTEE POINT,1.397301909,103.7465581
ADMIRALTY PLACE,1.439983666,103.8012931
YUHUA PLACE,1.345512106,103.7312191
GLOBALKIDS EDU PTE LTD,1.375635002,103.8719964
FUNAN O1,1.2913771790000002,103.8502419
WOODLANDS LODGE TWO,1.451220638,103.7978534
141 UPPER PAYA LEBAR ROAD SINGAPORE 534846,1.338893877,103.8861149
44 JALAN MERAH SAGA SINGAPORE 278116,1.311921954,103.796844
DBS KRANJI LODGE,1.4306935980000002,103.7592373
KALLANG HEIGHTS,1.312654496,103.8725418
390 MANDAI ROAD SINGAPORE 729759,1.4112445809999998,103.7763184
JUNIOR CHAMPS EDUCAMPUS PTE. LTD.,1.379245288,103.887832
UOB JEM BRANCH,1.33255233,103.7432622
DBS TANJONG KATONG COMPLEX,1.31630706,103.8943935
313 TANJONG KATONG ROAD SINGAPORE 437096,1.306086558,103.8961504
DESKER ROAD CONSERVATION AREA,1.308877881,103.8551556
PUNGGOL PARCVISTA,1.410819269,103.9003717
FERNVALE RIVERGROVE,1.397798747,103.8816988
HDB-HOUGANG,1.373312701,103.8863678
HDB-PASIR RIS,1.369008093,103.9586966
SEMBAWANG HILLS ESTATE,1.373079494,103.8296308
32 TUAS VIEW SQUARE SINGAPORE 637778,1.298658064,103.6280881
SEASTRAND,1.375588309,103.9608397
DEMPSEY CLUSTER (TANGLIN VILLAGE),1.304175116,103.8095261
230 GEYLANG ROAD SINGAPORE 389290,1.312088177,103.8773887
25A CHAI CHEE ROAD SINGAPORE 461025,1.323289599,103.9241496
WESTLINK TECHPARK,1.30071425,103.6283153
UE SQUARE,1.292164661,103.8426015
102 YISHUN AVENUE 5 SINGAPORE 760102,1.430618304,103.828763
373 BUKIT BATOK STREET 31 SINGAPORE 650373,1.358924571,103.7503972
WOODLANDS DEW,1.44834155,103.8010571
3 YUAN CHING ROAD SINGAPORE 618642,1.325474088,103.7252477
DBS NTUC HOLLAND DRIVE,1.309174198,103.7926926
EASTWOOD CENTRE,1.321447681,103.9554195
209 NEW UPPER CHANGI ROAD SINGAPORE 460209,1.324635731,103.9310688
HDB-BEDOK,1.332123133,103.9310515
SCAL DORMITORY (JALAN LEKAR),1.37573219,103.722544
HDB-KALLANG/WHAMPOA,1.314307076,103.8566595
HDB HUB,1.333013684,103.8470682
BLUE STARS DORMITORY,1.333157773,103.6952921
UOB WOODLANDS 888 PLAZA,1.437118561,103.7953161
EUNOS GROVE,1.332959236,103.9149418
WATERWAY BANKS,1.40566048,103.9119913
LIBRARY@CHINATOWN,1.285338949,103.8450156
PUNGGOL SPECTRA,1.40053115,103.9105369
720 CLEMENTI WEST STREET 2 SINGAPORE 120720,1.302464088,103.763751
DBS EASTPOINT BR 1,1.342691998,103.9530508
BINJAI PARK,1.335862577,103.7866168
RIDGEWOOD CONDOMINIUM,1.31661898,103.7789473
LOYANG POINT,1.36645364,103.9645985
CASA CLEMENTI,1.309791021,103.7686577
LEISURE PARK KALLANG,1.302337453,103.8764492
BRICKWORKS ESTATE,1.28645354,103.8082424
UOB WOODLANDS NORTH PLAZA,1.442852222,103.7909133
GOMBAK PLACE,1.347701477,103.7570446
91 UPPER PAYA LEBAR ROAD SINGAPORE 534821,1.3374849290000002,103.8870042
HARBOURFRONT CENTRE,1.263796829,103.820219
284 BUKIT BATOK EAST AVENUE 3 SINGAPORE 650284,1.346699052,103.7572767
181 LORONG 4 TOA PAYOH SINGAPORE 310181,1.333622326,103.8509779
MARINE TERRACE HAVEN,1.305605694,103.9153761
HDB-BEDOK,1.332334683,103.9380513
SELETAR LODGE ONE,1.3969509269999998,103.866644
UOB FAJAR SHOPPING CENTRE,1.38364777,103.7708866
UE BIZHUB EAST,1.334832071,103.9638937
OCBC PARAGON,1.304006404,103.8359789
PASIR RIS WEST PLAZA,1.379767543,103.9362076
J CONNECT,1.333825407,103.7396769
612A GEYLANG ROAD SINGAPORE 389551,1.314150013,103.8885449
COSTA RIS,1.369686255,103.9479224
ELDIX,1.408529972,103.7594062
HDB-JURONG WEST,1.352393583,103.7157595
DBS WEST COAST PLAZA,1.303586225,103.7661038
140 TECK WHYE LANE SINGAPORE 680140,1.380018058,103.7531484
HDB-BEDOK,1.333175419,103.931265
BOON LAY BUS INTERCHANGE,1.33936403,103.7053082
DBS NTUC KATONG V,1.303861208,103.9028714
DBS WATERWAY POINT BRANCH,1.406382096,103.9022437
HDB-HOUGANG,1.373618304,103.8857489
TANGLIN DELIVERY BASE,1.305643669,103.8229792
UOB WESTGATE,1.33415752,103.7427665
ORCHARD TOWERS,1.30754594,103.8294545
7 JURONG WEST AVENUE 5 SINGAPORE 649486,1.3487848969999998,103.7034157
COMPASSVALE NORTH GATE,1.394848165,103.8960423
TIONG BAHRU ESTATE,1.284413965,103.8341355
475 TAMPINES STREET 44 SINGAPORE 520475,1.360323319,103.9531296
VALLEY POINT,1.293036042,103.827125
OCBC GOLDEN MILE COMPLEX,1.302771205,103.8651721
HDB-BEDOK,1.324245542,103.9415687
PINE GREEN,1.307827368,103.8847638
KITCHENER COMPLEX,1.308919359,103.8617255
HDB-JURONG WEST,1.3499454359999998,103.7251805
HDB-BUKIT BATOK,1.34715255,103.7428248
DBS ONE KM,1.314618499,103.894738
CASSIA AT PENJURU,1.318002115,103.7319829
FC/MARKET,1.354593929,103.9601535
1 JALAN BERSEH SINGAPORE 209037,1.307785095,103.857011
"PANDAN VALLEY, ACACIA COURT",1.320441712,103.7789725
MY FIRST SKOOL,1.441752968,103.8247917
UOB CHANGI AIRPORT BRANCH (T2),1.3560073769999998,103.9889418
MULTI STOREY CAR PARK,1.4523875730000002,103.8174401
DBS PENJURU RECREATION CLUB,1.3186572840000002,103.7331521
MAGHAIN ABOTH SYNAGOGUE,1.298273283,103.8505995
OCBC SUN PLAZA - FAIRPRICE,1.448194368,103.81946440000002
ORCHARD ROAD,1.304097858,103.8322519
SIMPANG LODGE I,1.444341301,103.8390302
CLEMENTI ARCADE,1.323552869,103.7675155
BIG BOX,1.331832698,103.7448792
WHAMPOA COURT,1.324715797,103.8577529
HDB-GEYLANG EAST,1.321722962,103.8868118
HDB-BEDOK,1.320625049,103.9347342
342 TANJONG KATONG ROAD SINGAPORE 437112,1.303733874,103.8964983
EMBASSY OF THE REPUBLIC OF MALDIVES,1.317468165,103.8434679
KAI FOOK MANSION,1.284811639,103.8293068
539A BEDOK NORTH STREET 3 SINGAPORE 461539,1.332402306,103.9255006
STIRLING VIEW,1.290909181,103.8031076
PUNGGOL PLAZA,1.394184094,103.9129764
ANCHORVALE HARVEST,1.3968497990000002,103.8892468
HDB-CHOA CHU KANG,1.380627988,103.7415201
CITIBANK RAFFLES CITY SHOPPING CENTRE,1.293760281,103.8527683
HDB-KALLANG/WHAMPOA,1.308365264,103.8609128
192 LORONG 4 TOA PAYOH SINGAPORE 310192,1.331668148,103.8504872
5 EUNOS CRESCENT SINGAPORE 400005,1.321190968,103.9035545
SIGLAP V,1.312847064,103.9237886
147 SYED ALWI ROAD SINGAPORE 207706,1.309752999,103.8557015
KHATIB MRT STATION (NS14),1.41738337,103.8329799
6 MARINE PARADE CENTRAL SINGAPORE 449411,1.301347076,103.9071836
THE SAIL @ MARINA BAY,1.280769435,103.85265859999998
159 BUKIT BATOK STREET 11 SINGAPORE 650159,1.34857538,103.7427086
MARSILING MRT STATION (NS8),1.432521149,103.7740746
506 TAMPINES CENTRAL 1 SINGAPORE 520506,1.355952387,103.9459374
COMMONWEALTH VIEW,1.301864727,103.7981743
KEBUN BARU PALM VIEW,1.36754925,103.8367406
ADMIRALTY MRT STATION (NS10),1.44058852,103.8009905
PAYA LEBAR SQUARE,1.318675756,103.8925506
OKIO,1.322133312,103.8532168
VELOCITY @ NOVENA SQUARE,1.319789492,103.8440336
DBS PAYA LEBAR BRANCH,1.319027069,103.8947585
DBS PIONEER MALL,1.341673319,103.6972445
ITE HEADQUARTERS,1.377509461,103.8564135
HOMESTAY LODGE,1.338099792,103.9099701
KEAT HONG SHOPPING CENTRE,1.377439635,103.7443832
MULTI STOREY CAR PARK,1.282634376,103.8255958
THE BEO CRESCENT,1.289778139,103.8267937
HDB-KALLANG/WHAMPOA,1.315363027,103.8494345
TUAS TECHPARK,1.310694281,103.63019
GREENWICH V,1.3876033019999998,103.8694236
615 BUKIT TIMAH ROAD SINGAPORE 269716,1.324373542,103.8093578
THE RAIL MALL,1.360121549,103.767558
COCHRANE LODGE I,1.4598281780000002,103.8200734
MURAI LODGE II,1.383676743,103.6950781
5 ALJUNIED ROAD SINGAPORE 389797,1.31357605,103.8818778
DBS NTUC TIONG BAHRU PLAZA,1.286331772,103.8275508
CRYSTAL PAVILION SOUTH,1.283322499,103.8576291
FERNVALE LODGE,1.392138285,103.8724906
GIANT,1.372224562,103.9320462
HDB WOODLANDS BRANCH,1.434990016,103.7869821
SUNGEI KADUT INDUSTRIAL ESTATE,1.417572426,103.744217
100 AM,1.274588218,103.8434707
WATERWAY TERRACES I,1.408006949,103.8990744
CLEMENTI AVENUE 2 SHOPPING CENTRE,1.314278602,103.7713506
POTONG PASIR POST OFFICE,1.332535916,103.8670368
510 BISHAN STREET 13 SINGAPORE 570510,1.348888439,103.849692
SUNSET WAY RESIDENCE,1.322123929,103.7702659
HDB-GEYLANG,1.315539644,103.8987649
CARNIVAL CINEMAS S11 PUNGGOL,1.417641025,103.8963481
WOODLANDS RECREATION CENTRE,1.450895656,103.7970504
HOME TEAM ACADEMY (BLK 1),1.372827697,103.7224145
MINDCHAMPS PRESCHOOL @ HOLLAND V PTE. LTD.,1.310255422,103.7953504
DBS SHOP N SAVE BEDOK MARKET PLACE,1.331436231,103.9482603
JURONG EAST VILLE,1.336584653,103.7376233
HDB-SERANGOON ESTATE,1.354039398,103.8708515
WESTLITE MANDAI DORMITORY,1.407543245,103.758095
SEGAR VALE,1.388240217,103.7695754
COMPASSVALE ANCILLA,1.386218355,103.8929955
CITIBANK BUKIT PANJANG PLAZA,1.379894944,103.7644599
BLK J,1.286209532,103.8139751
ASPELLA,1.38233699,103.8936078
COSTA SANDS RESORT (DOWNTOWN EAST),1.379127179,103.9554448
NEW CREATION CHURCH,1.306950824,103.7882873
PARKWAY PARADE,1.301080033,103.9052818
NORTHPOINT CITY,1.429698486,103.8357765
BEDOK MALL,1.3246689740000002,103.9294055
OCBC JUNCTION 8 SHOPPING CENTRE,1.350172432,103.8485537
HDB-JURONG EAST,1.320531436,103.7426522
KHATIB VALE,1.4221386530000002,103.8328827
TECK GHEE HEARTLANDS,1.365384226,103.852967
HDB-YISHUN,1.435760804,103.8367239
ANSAR GARDEN,1.324760401,103.9243702
WESTLITE WOODLANDS,1.461525551,103.8094389
CONNEXIS / SYMBIOSIS,1.299150165,103.7875812
MULTI STOREY CAR PARK,1.364489743,103.7519871
OCBC JURONG POINT SHOPPING CENTRE - FAIRPRICE,1.339452004,103.706685
5 BANDA STREET SINGAPORE 050005,1.28119737,103.8434373
TANJONG PAGAR CONSERVATION AREA,1.278173664,103.8439289
HDB-TAMPINES,1.3483642180000002,103.9481587
KINDERLAND  KINDERGARTEN (CHOA CHU KANG),1.3780561480000002,103.7389318
KANG KAR MALL,1.371730573,103.8942085
355 SEMBAWANG WAY SINGAPORE 750355,1.449544856,103.8187276
414 YISHUN RING ROAD SINGAPORE 760414,1.4245284969999998,103.8465955
NOVENA REGENCY,1.321146529,103.8415504
HDB-CENTRAL AREA,1.281800622,103.8429082
KITCHENER COMPLEX,1.308393967,103.8620598
CLEMENTI POLYCLINIC,1.312482985,103.7654768
GROUND PLAZA (MARINA BAY LINK MALL),1.279724915,103.8545488
RESERVOIR VILLAGE,1.337404719,103.9217747
212 BEDOK NORTH STREET 1 SINGAPORE 460212,1.325940692,103.93164
PALM ISLES,1.356790867,103.9636976
418 YISHUN AVENUE 11 SINGAPORE 760418,1.424899319,103.8472498
OCBC VISTA POINT,1.4308011390000002,103.7941048
HDB-YISHUN,1.433595146,103.8396854
NANYANG TECHNOLOGICAL UNIVERSITY (N3.1),1.347649488,103.6827529
AYER RAJAH MARKET,1.311885959,103.7590809
962 JURONG WEST STREET 91 SINGAPORE 640962,1.341809154,103.6915126
MAYBANK OFFSITE@CENTURYSQUARE,1.352291397,103.9438496
BISHAN VIEW,1.34780072,103.8493161
279 BISHAN STREET 24 SINGAPORE 570279,1.357222831,103.8437853
70 TUAS SOUTH AVENUE 1 SINGAPORE 637285,1.312703972,103.6261294
PUNGGOL TOPAZ,1.4054135369999998,103.8968239
MACPHERSON MALL,1.331721416,103.8794275
CHAMPIONS COURT,1.431063955,103.7904541
OPERA ESTATE,1.315905149,103.9262661
BUGIS JUNCTION,1.300117893,103.8561916
HDB-CENTRAL AREA,1.27624052,103.8430061
MULTI STOREY CAR PARK-TEBAN PLACE,1.322136363,103.7382928
INTERNATIONAL MERCHANDISE MART,1.334875283,103.7468947
177 RIVER VALLEY ROAD SINGAPORE 179030,1.291490199,103.8446689
GUTHRIE HOUSE,1.330873866,103.7957003
ENTERPRISE HUB,1.336830975,103.75434140000002
HDB-TAMPINES,1.345504506,103.9455884
HDB-WOODLANDS,1.43150527,103.7735157
EMBASSY OF SWEDEN,1.300212928,103.8372865
MULTI STOREY CAR PARK,1.332112774,103.8573781
HDB-BUKIT MERAH,1.286920062,103.8186736
712 ANG MO KIO AVENUE 6 SINGAPORE 560712,1.3714109680000002,103.8470845
HOUGANG CAPEVIEW,1.377430067,103.9037129
63 YUNG KUANG ROAD SINGAPORE 610063,1.332213982,103.7226916
SHAW THEATRES BALESTIER,1.324920427,103.8513423
21 TUAS VIEW SQUARE SINGAPORE 637640,1.298917125,103.6275324
UOB WHITE SANDS MALL,1.372449817,103.9497157
STANDARD CHARTERED BANK CLEMENTI MALL,1.315553403,103.7645276
HILLCREST PARK,1.331491293,103.806809
225 OUTRAM ROAD SINGAPORE 169038,1.283450776,103.8353712
152B SERANGOON NORTH AVENUE 1 SINGAPORE 552152,1.369799404,103.8730358
HDB-GHIM MOH,1.310103026,103.788546
UOB THOMSON PLAZA,1.355028857,103.8310533
DBS FORUM THE SHOPPING MALL,1.306248731,103.8290349
HDB-GEYLANG EAST,1.320000402,103.8873631
YISHUN RIVERGREEN,1.430071099,103.8423964
266 SERANGOON CENTRAL DRIVE SINGAPORE 550266,1.353231639,103.8714729
BCH@301,1.312724011,103.8787054
HILLV2,1.363550958,103.7642361
TEKKA PLACE,1.304657884,103.8521229
ZHONGSHAN MALL,1.326945045,103.84655440000002
80 LORONG LIMAU SINGAPORE 320080,1.323796071,103.85567059999998
GREEN COURT,1.313289737,103.8851538
MAPLE BEAR EDUCARE PTE. LTD.,1.307668615,103.8281644
STANDARD CHARTERED BANK VIVOCITY,1.264304765,103.8223086
THOMSON IMPERIAL COURT,1.351769141,103.8360677
BAYSHORE PARK,1.311795442,103.9368945
HDB-TAMPINES,1.349224196,103.9349125
HDB-CLEMENTI,1.317702812,103.7690767
DBS SERANGOON GARDEN BRANCH,1.365280606,103.8651012
1 COVE AVENUE SINGAPORE 098537,1.247150405,103.839555
COLD STORAGE JELITA,1.317561967,103.7858406
1 LORONG 15 GEYLANG SINGAPORE 388595,1.312829381,103.8781479
HSBC TAMPINES BRANCH,1.354204304,103.945052
DBS NTUC RIVERVALE PLAZA,1.3855042080000002,103.9019884
542B SERANGOON NORTH AVENUE 3 SINGAPORE 552542,1.37368393,103.871417
NOVENA MEDICAL CENTRE,1.320441031,103.8441926
DAMAI GROVE,1.404610031,103.9086656
JOO KOON BUS INTERCHANGE,1.327161861,103.6782793
EUNOS GROVE,1.3320509459999998,103.91414509999998
DBS TUAS SOUTH RECREATION CLUB,1.270195854,103.6344796
108 PUNGGOL FIELD SINGAPORE 820108,1.396498616,103.9088663
DBS GREENRIDGE SHOPPING CENTRE,1.385295565,103.7661705
HOMETEAMNS BUKIT BATOK GOLF DRIVING RANGE,1.3657480169999998,103.74848
DBS THE GRANDSTAND,1.337593733,103.7937074
WOODLANDS DORMITORY,1.454646556,103.8044767
AVERY LODGE,1.32128075,103.7298326
71 KALLANG BAHRU SINGAPORE 330071,1.320992942,103.87039
343 BEDOK ROAD SINGAPORE 469526,1.331272339,103.9472683
BLUE RIVERVIEW,1.450008617,103.8141109
